,year,category,breakout_id,resp039_sample,resp039_value,resp040_sample,resp040_value,resp041_sample,resp041_value,resp042_sample,resp042_value,resp056_sample,resp056_value,resp057_sample,resp057_value,resp058_sample,resp058_value,resp059_sample,resp059_value,resp060_sample,resp060_value,resp061_sample,resp061_value,resp062_sample,resp062_value,resp063_sample,resp063_value,resp064_sample,resp064_value,resp065_sample,resp065_value,resp066_sample,resp066_value,resp067_sample,resp067_value,DECIDE_yes_sample,DECIDE_yes_value,DECIDE_no_sample,DECIDE_no_value,resp222_sample,resp222_value,resp223_sample,resp223_value,resp224_sample,resp224_value,fruit_resp077_sample,fruit_resp077_value,fruit_resp078_sample,fruit_resp078_value,veg_resp077_sample,veg_resp077_value,veg_resp078_sample,veg_resp078_value,PAINDX2_yes_sample,PAINDX2_yes_value,PAINDX2_no_sample,PAINDX2_no_value,PASTAE2_yes_sample,PASTAE2_yes_value,PASTAE2_no_sample,PASTAE2_no_value,PASTRNG_yes_sample,PASTRNG_yes_value,PASTRNG_no_sample,PASTRNG_no_value,TOTINDA_yes_sample,TOTINDA_yes_value,TOTINDA_no_sample,TOTINDA_no_value
0,2015,Gender,SEX1,54078,29.72641509433962,76814,41.16415094339622,46525,27.930188679245283,1665,1.2394736842105263,32773,19.233962264150943,61519,32.48679245283019,59022,31.796226415094342,23840,12.137735849056602,9240,4.356603773584906,153314,83.50188679245284,33080,16.49811320754717,129718,64.88490566037736,22520,13.70754716981132,14658,9.711320754716983,15408,10.239622641509435,2110,1.669230769230769,15689,9.29245283018868,165011,90.70754716981132,,,,,,,95119.0,53.92830188679245,72391.0,46.07169811320755,125240.0,74.35283018867923,39181.0,25.647169811320754,89833.0,52.198113207547166,74250.0,47.801886792452834,35308.0,22.49433962264151,126953.0,77.5056603773585,52264.0,33.966037735849056,115103.0,66.03396226415094,127849,74.95094339622642,42131,25.049056603773582
1,2015,Gender,SEX2,65846,28.871698113207547,70190,29.733962264150946,84885,38.99811320754717,5056,2.407843137254902,43259,18.183018867924527,83546,32.85660377358491,77953,30.88490566037736,35122,13.3811320754717,13935,4.7,204758,81.91509433962264,49057,18.08490566037736,195713,74.11509433962264,28011,12.615094339622642,13912,6.913207547169811,11559,5.6461538461538465,1733,1.025925925925926,26350,11.277358490566039,219751,88.72264150943397,,,,,,,152698.0,63.60754716981132,77537.0,36.39245283018868,184321.0,80.42830188679245,41597.0,19.571698113207546,115180.0,50.362264150943396,108933.0,49.637735849056604,39388.0,18.28679245283019,182298.0,81.71320754716982,57360.0,25.90754716981132,172716.0,74.09245283018868,168171,72.57358490566038,65313,27.42641509433962
2,2015,Age Group,AGE01,3813,17.627450980392158,5754,25.277358490566037,11618,52.9377358490566,946,5.065217391304348,6118,26.041509433962265,9235,36.85660377358491,6916,28.977358490566036,1640,7.395454545454545,245,1.4,22269,91.8754716981132,1885,8.47391304347826,13997,60.0433962264151,4397,18.30754716981132,3175,12.932692307692308,1654,8.05,349,2.38,2342,10.780392156862744,20887,89.33584905660378,,,,,,,11087.0,52.77735849056604,10082.0,47.22264150943396,14723.0,70.17924528301887,6133.0,29.82075471698113,11211.0,54.26792452830188,9587.0,45.73207547169812,6053.0,29.756603773584903,14463.0,70.2433962264151,9576.0,45.528301886792455,11411.0,54.471698113207545,17736,82.28867924528302,3690,17.815384615384616
3,2015,Age Group,AGE02,10399,27.38490566037736,12666,33.8,14493,37.049056603773586,713,2.146153846153846,10112,23.40754716981132,15608,35.715094339622645,12766,30.49811320754717,3544,8.903846153846153,632,1.95,38486,89.62641509433962,4176,10.373584905660376,23916,56.41509433962264,7057,16.652830188679246,5041,12.00943396226415,5190,13.282692307692308,719,2.7733333333333334,3804,9.72549019607843,37291,90.38867924528303,,,,,,,22344.0,58.19245283018868,15505.0,41.807547169811315,29528.0,78.18301886792453,7802.0,21.816981132075473,18687.0,50.48490566037736,18228.0,49.51509433962264,8513.0,23.38490566037736,27987.0,76.61509433962264,13481.0,36.30754716981132,23803.0,63.69245283018868,30045,78.21886792452831,7900,21.7811320754717
4,2015,Age Group,AGE03,15100,32.922641509433966,16205,36.27169811320755,14397,29.66792452830189,580,1.4875,10766,20.38490566037736,17939,33.75660377358491,15561,32.030188679245285,5036,10.779245283018867,1433,3.443589743589744,44266,86.16415094339622,6469,13.835849056603772,32042,62.943396226415096,7890,15.369811320754717,4924,10.022641509433964,4662,10.415384615384616,663,2.3600000000000003,4547,9.70754716981132,44513,90.29245283018868,,,,,,,27483.0,58.35849056603774,18281.0,41.64150943396226,36616.0,79.5490566037736,8596.0,20.450943396226418,22588.0,49.152830188679246,22050.0,50.847169811320754,9144.0,20.098113207547172,35060.0,79.90188679245283,13741.0,30.21698113207547,31481.0,69.78301886792453,35094,74.65849056603774,10780,25.341509433962262
5,2015,Age Group,AGE04,22119,34.533962264150944,23928,37.37358490566038,18768,26.967924528301886,772,1.3888888888888888,13449,17.733962264150943,23997,32.077358490566034,21339,30.71698113207547,9089,13.939622641509434,3876,5.623529411764706,58785,80.52641509433961,12965,19.473584905660374,50042,70.02452830188679,9622,13.190566037735849,5416,7.75,5417,8.20754716981132,631,1.625,8070,11.973584905660378,61463,88.02641509433961,,,,,,,38512.0,56.869811320754714,26766.0,43.130188679245286,51351.0,78.19811320754717,13227.0,21.80188679245283,32393.0,49.83396226415094,30786.0,50.16603773584906,12137.0,18.566037735849058,50492.0,81.43396226415095,17692.0,26.341509433962262,47144.0,73.65849056603774,48712,72.04905660377358,16967,27.950943396226418
6,2015,Age Group,AGE05,30151,33.75471698113208,33379,38.24528301886792,25231,26.81320754716981,1108,1.3458333333333332,15886,14.947169811320755,31746,30.533962264150944,29704,31.09245283018868,14357,16.020754716981134,6635,7.425000000000001,77336,76.58301886792454,20992,23.41698113207547,74740,76.37169811320754,10751,10.724528301886792,5656,6.121153846153846,5717,6.217307692307693,648,1.0333333333333334,10346,11.21320754716981,85207,88.78679245283018,,,,,,,55416.0,59.4811320754717,34742.0,40.5188679245283,71228.0,78.61698113207547,17797.0,21.383018867924527,45816.0,50.84905660377358,41464.0,49.15094339622642,15605.0,16.79811320754717,70910.0,83.20188679245283,22526.0,23.532075471698114,67432.0,76.4679245283019,66363,70.90943396226415,24666,29.090566037735847
7,2015,Age Group,AGE09,38342,27.766037735849054,55072,39.054716981132074,46903,31.48301886792453,2602,1.7249999999999999,19701,12.230188679245284,46540,28.67735849056604,50689,33.83018867924528,25296,17.82075471698113,10354,7.447169811320754,116930,74.73584905660377,35650,25.264150943396228,130694,86.55849056603775,10814,6.940384615384615,4358,2.896153846153846,4327,2.9607843137254903,833,0.8071428571428572,12930,9.09433962264151,135401,90.90566037735849,,,,,,,92975.0,65.18301886792453,44552.0,34.81698113207547,106115.0,78.0056603773585,27223.0,21.99433962264151,74318.0,53.07169811320755,61068.0,46.92830188679245,23244.0,16.375471698113206,110339.0,83.6245283018868,32608.0,22.452830188679247,106548.0,77.54716981132076,98070,67.42830188679245,43441,32.571698113207546
8,2015,Race/Ethnicity,RACE01,89873,27.82884615384615,115081,35.707692307692305,105836,34.690384615384616,5243,1.7836734693877552,61470,19.857692307692307,120749,35.98461538461539,102170,29.184615384615384,40415,10.786274509803922,16827,4.402,284389,85.01730769230768,57242,15.135294117647058,253018,69.74615384615385,38856,12.982692307692307,21919,8.288235294117646,21535,8.284313725490197,2418,0.9384615384615385,30564,9.776470588235295,301857,90.29423076923078,,,,,,,196230.0,59.56153846153846,115422.0,40.43846153846154,247092.0,79.82115384615385,58762.0,20.272549019607844,166571.0,53.676923076923075,137599.0,46.323076923076925,59642.0,21.088461538461537,241352.0,78.91153846153846,86049.0,30.215384615384615,225462.0,69.78461538461538,235871,75.89423076923077,80082,24.10576923076923
9,2015,Race/Ethnicity,RACE02,12991,37.03170731707317,10965,34.041463414634144,7217,27.325,393,1.2333333333333334,4537,17.130769230769232,8522,27.155,12556,35.05609756097561,6619,16.474358974358974,2365,5.179310344827586,25615,78.54523809523809,8984,21.5975,28682,77.11666666666667,3175,12.105555555555556,1361,5.703225806451614,1002,4.923529411764706,147,,4339,12.869444444444445,28679,87.17142857142856,,,,,,,17543.0,57.760000000000005,12016.0,42.239999999999995,19290.0,65.66,9762.0,34.339999999999996,12351.0,45.169230769230765,16520.0,54.830769230769235,4986.0,20.29230769230769,23447.0,79.70769230769231,8148.0,31.64358974358974,21658.0,68.35641025641026,20349,69.36749999999999,10090,30.6325
