,location,year,BMI: Obese (BMI 30.0 - 99.8),BMI: Overweight (BMI 25.0-29.9),BMI: Normal Weight (BMI 18.5-24.9),BMI: Underweight (BMI 12.0-18.4),General health: Excellent,General health: Very good,General health: Good,General health: Fair,General health: Poor,Health status: Good or Better,Health status: Fair or Poor,Doc visit: Past year,Doc visit: Past 2 years,Doc visit: Past 5 years,Doc visit: 5+ years ago,Doc visit: Never,"Concentrate, remember, decide: Difficult","Concentrate, remember, decide: Not difficult",Bad mental health days: 0,Bad mental health days: 1-13,Bad mental health days: 14+,Fruit eaten: Daily,Fruit eaten: Not daily,Vegetables eaten: Daily,Vegetables eaten: Not daily,Aerobic activity per week: Over 150 min,Aerobic activity per week: Under 150 min,Met physical activity guidelines: Yes,Met physical activity guidelines: No,Strength training: 2x+ per week,Strength training: 1x- per week,Physically active in last month: Yes,Physically active in last month: No
311,Washington,2020,28.0,36.0,33.9,2.1,23.2,35.5,29.0,9.4,2.9,87.7,12.3,70.4,15.6,7.8,5.3,0.9,9.4,90.6,57.0,29.3,13.7,,,,,,,,,,,82.2,17.8
312,Washington,2021,28.8,35.4,34.1,1.7,20.5,35.2,30.0,11.1,3.2,85.7,14.3,66.7,17.9,9.9,4.7,0.8,11.8,88.2,53.6,31.0,15.4,63.9,36.1,81.0,19.0,,,,,,,82.2,17.8
313,West Virginia,2015,35.6,35.5,26.9,2.0,13.0,30.0,31.2,16.6,9.3,74.1,25.9,79.8,7.7,4.6,7.2,0.8,14.6,85.4,,,,50.1,49.9,73.5,26.5,48.0,52.0,13.8,86.2,20.9,79.1,69.2,30.8
314,West Virginia,2016,37.7,33.3,27.2,1.8,12.8,29.0,32.0,17.6,8.7,73.7,26.3,78.6,8.0,5.2,7.6,0.6,16.4,83.6,,,,,,,,,,,,,,71.5,28.5
315,West Virginia,2017,38.1,33.6,27.0,1.3,11.8,28.1,34.2,17.2,8.7,74.1,25.9,76.2,9.4,6.4,6.9,1.2,18.9,81.1,,,,55.1,44.9,81.7,18.3,48.1,51.9,15.1,84.9,22.6,77.4,68.4,31.6
316,West Virginia,2018,39.5,32.5,26.3,1.7,12.4,28.8,32.6,16.8,9.4,73.7,26.3,81.2,7.7,4.6,6.0,,17.9,82.1,,,,,,,,,,,,,,71.8,28.2
317,West Virginia,2019,39.7,32.3,25.9,2.1,10.4,28.0,35.0,18.0,8.6,73.4,26.6,80.5,8.4,4.8,5.8,0.5,19.2,80.8,56.8,22.7,20.6,53.7,46.3,80.2,19.8,47.2,52.8,17.1,82.9,26.1,73.9,68.8,31.2
318,West Virginia,2020,39.1,32.0,26.8,2.1,14.1,30.6,33.1,16.1,6.2,77.8,22.2,81.9,8.3,4.6,4.8,,15.1,84.9,61.2,21.3,17.5,,,,,,,,,,,70.3,29.7
319,West Virginia,2021,40.6,33.0,24.9,1.5,12.3,30.2,34.5,16.0,7.0,77.1,22.9,79.1,10.0,4.7,5.6,0.6,18.2,81.8,58.2,22.5,19.4,54.0,46.0,81.1,18.9,,,,,,,69.5,30.5
320,Wisconsin,2015,30.7,35.3,32.7,1.3,18.0,35.9,31.5,11.4,3.2,85.4,14.6,68.8,14.8,9.0,6.6,0.8,8.8,91.2,,,,62.1,37.9,76.0,24.0,56.8,43.2,20.1,79.9,28.6,71.4,78.4,21.6
321,Wisconsin,2016,30.7,35.5,32.0,1.7,15.9,35.4,32.7,12.4,3.6,84.0,16.0,70.8,13.3,7.7,7.3,0.9,9.6,90.4,,,,,,,,,,,,,,80.0,20.0
322,Wisconsin,2017,32.0,35.3,31.5,1.2,17.5,33.9,31.7,12.6,4.2,83.1,16.9,71.4,13.0,8.3,6.8,0.6,9.6,90.4,,,,67.6,32.4,81.0,19.0,57.1,42.9,21.2,78.8,30.6,69.4,77.6,22.4
323,Wisconsin,2018,32.0,36.1,30.1,1.8,15.5,35.8,33.1,11.6,4.0,84.3,15.7,76.4,11.6,6.6,4.8,0.7,9.7,90.3,,,,,,,,,,,,,,78.2,21.8
324,Wisconsin,2019,34.2,35.5,28.6,1.8,15.3,35.1,34.0,11.6,4.1,84.3,15.7,76.4,11.3,6.3,5.4,0.6,9.6,90.4,59.2,28.0,12.7,61.1,38.9,77.2,22.8,54.6,45.4,24.7,75.3,36.2,63.8,76.8,23.2
325,Wisconsin,2020,32.3,36.1,30.2,1.5,19.3,37.9,30.0,10.2,2.5,87.2,12.8,74.2,13.4,6.2,5.5,0.7,9.5,90.5,59.8,27.7,12.5,,,,,,,,,,,79.5,20.5
326,Wisconsin,2021,33.9,34.6,29.6,1.9,16.9,36.7,32.8,9.9,3.7,86.4,13.6,73.6,13.8,6.2,5.8,,10.3,89.7,57.5,28.9,13.6,61.2,38.8,79.9,20.1,,,,,,,79.7,20.3
327,Wyoming,2015,29.0,36.4,32.9,1.7,19.6,37.0,28.5,10.8,4.0,85.1,14.9,61.0,14.0,10.5,13.0,1.5,9.2,90.8,,,,58.2,41.8,78.5,21.5,54.4,45.6,23.4,76.6,32.1,67.9,73.8,26.2
328,Wyoming,2016,27.7,36.5,34.0,1.7,19.0,34.1,31.2,11.3,4.3,84.4,15.6,63.8,13.3,8.9,12.3,1.7,9.7,90.3,,,,,,,,,,,,,,76.9,23.1
329,Wyoming,2017,28.8,35.9,33.4,2.0,19.1,33.9,31.6,11.0,4.4,84.6,15.4,62.9,13.5,8.8,13.0,1.8,10.5,89.5,,,,62.4,37.6,84.7,15.3,53.9,46.1,23.0,77.0,32.9,67.1,74.3,25.7
330,Wyoming,2018,29.0,35.3,34.0,1.6,18.8,34.4,30.8,11.6,4.3,84.0,16.0,68.6,11.9,7.0,11.4,1.1,10.4,89.6,,,,,,,,,,,,,,78.3,21.7
331,Wyoming,2019,29.7,35.5,33.2,1.6,18.7,33.5,31.2,12.2,4.5,83.3,16.7,68.5,11.6,8.7,9.8,1.4,10.1,89.9,66.1,21.3,12.6,57.8,42.2,81.4,18.6,54.0,46.0,24.5,75.5,38.0,62.0,75.4,24.6
332,Wyoming,2020,30.7,36.6,31.4,1.3,21.9,36.6,29.3,9.3,2.9,87.8,12.2,68.7,13.8,7.1,9.0,1.4,8.9,91.1,64.8,23.1,12.1,,,,,,,,,,,77.6,22.4
333,Wyoming,2021,32.0,37.0,29.5,1.5,21.7,34.2,30.2,9.9,4.0,86.1,13.9,68.2,14.8,6.8,9.5,0.7,11.6,88.4,61.3,23.6,15.1,56.7,43.3,80.8,19.2,,,,,,,77.1,22.9
334,California,2015,24.2,36.2,38.0,1.7,20.4,30.6,31.0,14.0,4.0,82.0,18.0,66.2,16.3,9.1,7.0,1.5,9.9,90.1,,,,64.2,35.8,81.4,18.6,57.3,42.7,22.9,77.1,33.0,67.0,80.0,20.0
335,California,2016,25.0,36.0,36.4,2.6,20.8,30.2,31.2,13.6,4.2,82.2,17.8,67.0,16.1,8.9,6.6,1.4,9.6,90.4,,,,,,,,,,,,,,79.5,20.5
336,California,2017,25.1,35.8,36.6,2.4,19.6,31.3,31.6,13.6,4.0,82.4,17.6,67.6,15.3,9.0,6.3,1.7,10.1,89.9,,,,67.5,32.5,78.6,21.4,57.5,42.5,23.9,76.1,34.3,65.7,80.0,20.0
337,California,2018,25.8,36.4,36.0,1.8,18.5,30.4,33.0,14.0,4.1,81.9,18.1,71.6,14.2,8.0,5.3,0.9,10.1,89.9,,,,,,,,,,,,,,79.0,21.0
338,California,2019,26.2,36.7,35.1,2.1,18.4,29.8,33.5,14.3,4.0,81.8,18.2,71.8,14.5,7.4,5.2,1.1,10.7,89.3,62.9,25.2,11.9,63.8,36.2,76.1,23.9,54.1,45.9,22.6,77.4,33.7,66.3,77.6,22.4
339,California,2020,30.2,33.8,33.5,2.5,24.1,29.2,31.8,11.6,3.2,85.1,14.9,65.6,21.1,8.2,4.4,0.7,10.0,90.0,60.0,27.3,12.7,,,,,,,,,,,78.8,21.2
340,California,2021,27.6,36.4,33.8,2.2,20.4,29.7,33.7,12.7,3.4,83.8,16.2,64.2,19.9,10.0,5.1,0.9,11.8,88.2,58.3,27.3,14.4,63.8,36.2,77.5,22.5,,,,,,,79.9,20.1
341,Guam,2015,31.6,35.5,31.2,1.8,16.5,24.2,39.5,15.7,4.1,80.2,19.8,63.2,13.7,10.3,11.3,1.5,7.5,92.5,,,,56.4,43.6,73.2,26.8,48.8,51.2,21.4,78.6,32.0,68.0,68.9,31.1
342,Guam,2016,28.3,36.2,33.4,2.0,15.1,23.3,39.8,17.2,4.6,78.2,21.8,66.2,15.2,8.1,9.1,,8.2,91.8,,,,,,,,,,,,,,70.4,29.6
343,Guam,2017,34.3,32.7,30.4,2.5,14.5,21.8,41.7,16.4,5.5,78.1,21.9,65.2,13.6,10.0,9.8,1.3,10.2,89.8,,,,55.9,44.1,73.3,26.7,44.6,55.4,21.8,78.2,32.5,67.5,66.6,33.4
344,Guam,2018,29.8,32.4,35.7,2.1,16.0,22.6,39.4,14.7,7.3,78.0,22.0,71.2,10.9,8.1,8.7,,10.0,90.0,,,,,,,,,,,,,,70.0,30.0
345,Guam,2019,33.6,34.1,29.8,2.5,15.6,24.0,39.9,16.1,4.4,79.5,20.5,72.0,11.6,7.5,7.8,,11.5,88.5,62.9,23.7,13.4,51.0,49.0,73.0,27.0,45.4,54.6,20.9,79.1,36.0,64.0,70.8,29.2
346,Guam,2020,34.4,32.6,31.0,,25.5,25.4,32.6,13.9,2.6,83.5,16.5,72.0,14.6,7.0,6.0,,8.6,91.4,67.4,21.0,11.6,,,,,,,,,,,74.2,25.8
347,Guam,2021,33.5,31.4,32.6,2.5,22.1,26.4,34.9,12.6,4.0,83.4,16.6,67.2,15.4,9.6,6.6,,12.2,87.8,69.2,18.9,11.9,57.3,42.7,70.6,29.4,,,,,,,70.1,29.9
348,Puerto Rico,2015,29.5,37.5,30.7,2.3,15.9,12.5,35.1,31.8,4.7,63.6,36.4,78.1,11.5,6.1,3.7,0.5,10.7,89.3,,,,44.4,55.6,75.5,24.5,34.1,65.9,8.1,91.9,10.9,89.1,51.9,48.1
349,Puerto Rico,2016,30.7,35.8,31.1,2.4,17.3,12.5,35.9,29.7,4.6,65.7,34.3,81.7,9.2,4.4,4.0,0.6,15.3,84.7,,,,,,,,,,,,,,58.3,41.7
350,Puerto Rico,2017,32.9,35.4,30.2,1.5,17.6,11.4,33.9,32.0,5.1,62.9,37.1,78.3,11.5,6.3,3.2,0.7,15.8,84.2,,,,44.0,56.0,54.0,46.0,19.6,80.4,5.4,94.6,9.8,90.2,46.0,54.0
351,Puerto Rico,2018,32.9,36.8,27.9,2.4,18.5,13.6,32.9,30.8,4.2,65.0,35.0,81.4,10.4,4.3,3.6,0.4,18.9,81.1,,,,,,,,,,,,,,52.7,47.3
352,Puerto Rico,2019,32.5,37.3,28.8,1.4,20.6,15.1,30.0,30.0,4.4,65.6,34.4,81.4,9.4,5.5,3.2,0.4,19.2,80.8,77.6,10.6,11.8,46.7,53.3,55.6,44.4,30.2,69.8,7.3,92.7,11.6,88.4,49.4,50.6
353,Puerto Rico,2020,31.4,36.1,30.5,2.0,27.3,15.5,30.3,23.4,3.4,73.2,26.8,75.2,15.8,5.3,2.9,0.8,17.5,82.5,80.6,8.4,11.0,,,,,,,,,,,54.2,45.8
354,Puerto Rico,2021,36.0,36.4,26.0,1.6,24.7,17.3,31.2,23.1,3.8,73.2,26.8,75.9,14.9,5.6,3.2,,16.8,83.2,79.9,8.6,11.5,48.9,51.1,53.4,46.6,,,,,,,53.9,46.1
355,Virgin Islands,2016,32.5,32.7,33.7,,14.4,26.6,38.8,17.0,3.3,79.7,20.3,68.8,13.1,8.6,9.3,,9.4,90.6,,,,,,,,,,,,,,74.0,26.0
356,Virgin Islands,2021,35.6,31.1,30.5,,16.7,26.5,35.4,16.1,5.3,78.6,21.4,74.1,13.0,7.6,,,14.4,85.6,66.9,20.0,13.0,60.3,39.7,67.8,32.2,,,,,,,78.1,21.9
357,Colorado,2015,20.2,36.4,41.2,2.2,20.7,37.0,28.4,10.8,3.1,86.1,13.9,63.2,15.7,10.2,9.3,1.5,8.6,91.4,,,,64.2,35.8,82.2,17.8,60.6,39.4,26.2,73.8,35.4,64.6,82.1,17.9
358,Colorado,2016,22.3,35.8,39.7,2.2,20.4,36.5,28.6,11.2,3.2,85.5,14.5,62.4,16.4,11.0,8.9,1.3,7.8,92.2,,,,,,,,,,,,,,84.2,15.8
359,Colorado,2017,22.6,36.1,39.0,2.2,19.9,36.5,29.1,11.0,3.5,85.5,14.5,62.1,16.3,11.2,9.3,1.1,9.2,90.8,,,,67.0,33.0,82.6,17.4,58.7,41.3,26.0,74.0,35.5,64.5,80.6,19.4
360,Colorado,2018,23.0,35.9,39.4,1.7,19.8,35.5,30.6,11.1,2.9,86.0,14.0,68.9,14.1,8.9,6.7,1.4,7.8,92.2,,,,,,,,,,,,,,83.6,16.4
361,Colorado,2019,23.8,35.3,38.9,2.0,19.6,36.1,30.2,11.2,2.9,86.0,14.0,68.8,14.0,9.7,6.8,0.8,9.2,90.8,59.7,28.0,12.3,63.0,37.0,80.5,19.5,58.4,41.6,27.4,72.6,39.3,60.7,81.3,18.7
362,Colorado,2020,24.2,35.0,38.3,2.5,26.0,37.3,26.3,8.4,2.1,89.6,10.4,67.8,16.0,8.6,6.9,0.7,8.2,91.8,57.8,29.3,12.8,,,,,,,,,,,83.4,16.6
363,Colorado,2021,25.1,35.5,37.1,2.3,21.1,36.0,29.8,10.1,2.9,86.9,13.1,67.4,16.4,9.2,6.0,0.9,10.8,89.2,55.6,30.2,14.2,61.9,38.1,81.4,18.6,,,,,,,83.3,16.7
364,Connecticut,2015,25.3,36.4,36.2,2.1,22.6,34.9,27.6,11.2,3.8,85.1,14.9,72.9,14.5,7.2,4.9,0.5,8.7,91.3,,,,64.5,35.5,80.6,19.4,54.5,45.5,21.3,78.7,31.2,68.8,76.5,23.5
365,Connecticut,2016,26.0,35.9,36.7,1.5,21.6,35.4,28.6,10.8,3.5,85.6,14.4,75.8,13.0,6.5,4.3,0.4,8.8,91.2,,,,,,,,,,,,,,78.7,21.3
366,Connecticut,2017,26.9,36.4,35.0,1.7,20.5,36.0,29.0,10.8,3.7,85.5,14.5,75.1,13.5,6.6,4.3,0.5,8.3,91.7,,,,68.8,31.2,83.2,16.8,51.9,48.1,22.8,77.2,33.6,66.4,76.0,24.0
367,Connecticut,2018,27.4,37.0,34.0,1.5,21.4,36.7,28.1,10.6,3.2,86.2,13.8,81.1,11.0,4.9,2.8,,9.1,90.9,,,,,,,,,,,,,,77.6,22.4
368,Connecticut,2019,29.1,36.6,32.7,1.6,19.5,36.5,29.1,11.4,3.5,85.1,14.9,80.5,11.3,5.0,3.0,,9.5,90.5,63.2,25.4,11.3,66.1,33.9,80.4,19.6,53.4,46.6,26.1,73.9,39.4,60.6,76.5,23.5
369,Connecticut,2020,29.2,35.2,33.5,2.1,25.9,35.8,26.9,9.2,2.1,88.6,11.4,78.4,13.0,5.2,3.0,0.3,9.4,90.6,62.1,25.3,12.6,,,,,,,,,,,79.4,20.6
370,Connecticut,2021,30.4,35.3,31.6,2.7,22.1,35.8,29.6,9.7,2.7,87.6,12.4,77.1,13.2,5.8,3.1,0.6,10.2,89.8,60.5,26.8,12.8,64.6,35.4,80.0,20.0,,,,,,,77.1,22.9
371,All States and DC (median) **,2015,29.8,35.5,32.7,1.8,18.7,33.4,31.2,12.1,4.0,83.6,16.4,70.2,13.3,8.2,8.3,1.0,10.1,89.9,,,,60.3,39.7,77.9,22.1,51.3,48.7,20.3,79.7,30.2,69.8,73.8,26.2
372,All States and DC (median) **,2016,29.9,35.3,32.9,1.8,18.7,33.8,31.3,12.4,4.3,83.6,16.4,70.9,12.7,7.7,7.3,1.0,9.8,90.2,,,,,,,,,,,,,,76.9,23.2
373,All States and DC (median) **,2017,31.3,35.3,32.0,1.8,17.8,33.2,31.9,12.9,4.5,82.4,17.6,70.4,12.8,7.9,7.5,1.1,10.7,89.4,,,,63.4,36.6,82.0,18.1,50.6,49.4,20.3,79.7,30.2,69.8,74.4,25.6
374,All States and DC (median) **,2018,30.9,34.9,31.6,1.8,18.0,32.6,31.9,13.0,4.4,82.7,17.3,77.0,11.0,6.0,5.6,0.7,11.0,89.0,,,,,,,,,,,,,,76.2,23.8
375,All States and DC (median) **,2019,32.1,34.6,30.7,1.8,17.4,33.2,32.4,13.4,4.5,82.0,18.0,77.6,10.7,6.2,5.5,0.7,11.6,88.4,61.4,25.0,13.8,60.7,39.3,79.7,20.3,50.1,50.0,23.2,76.8,35.7,64.4,73.7,26.3
376,All States and DC (median) **,2020,31.9,35.2,31.1,1.8,22.0,34.8,29.6,10.2,3.1,86.7,13.3,76.0,12.6,6.1,5.5,0.6,10.8,89.2,61.7,23.8,13.2,,,,,,,,,,,77.6,22.4
377,All States and DC (median) **,2021,33.9,34.4,29.9,1.9,19.2,34.1,31.3,11.4,3.6,85.2,14.8,75.6,12.8,6.2,5.4,0.7,12.1,87.9,59.1,26.0,14.6,59.2,40.8,80.3,19.7,,,,,,,76.3,23.7
378,"All States, DC and Territories (median) **",2015,29.8,35.5,32.7,1.8,18.7,33.3,31.2,12.1,4.1,83.6,16.5,70.2,13.3,8.2,8.3,1.0,10.1,89.9,,,,59.9,40.1,77.7,22.3,51.0,49.0,20.3,79.7,30.2,69.8,73.8,26.2
379,"All States, DC and Territories (median) **",2016,30.1,35.3,33.0,1.8,18.4,33.5,31.5,12.5,4.4,83.3,16.7,70.8,12.8,7.7,7.5,1.0,9.8,90.2,,,,,,,,,,,,,,76.7,23.3
380,"All States, DC and Territories (median) **",2017,31.6,35.3,32.0,1.8,17.7,33.1,32.0,13.3,4.5,82.3,17.7,70.4,12.8,7.9,7.5,1.1,10.7,89.4,,,,63.2,36.8,81.9,18.1,50.2,49.8,20.3,79.7,30.2,69.8,74.3,25.7
381,"All States, DC and Territories (median) **",2018,30.9,34.9,31.6,1.8,18.0,32.5,32.0,13.1,4.4,82.7,17.3,77.0,11.0,6.0,5.6,0.7,11.0,89.0,,,,,,,,,,,,,,76.2,23.8
382,"All States, DC and Territories (median) **",2019,32.4,34.6,30.5,1.8,17.4,33.0,32.4,13.6,4.5,81.8,18.2,77.6,10.7,6.2,5.5,0.7,11.7,88.3,61.4,24.9,13.8,60.2,39.8,79.6,20.4,49.9,50.1,22.8,77.2,35.7,64.4,73.6,26.4
383,"All States, DC and Territories (median) **",2020,31.9,35.2,31.0,1.8,22.2,34.8,29.7,10.2,3.1,86.5,13.5,75.7,12.6,6.1,5.5,0.6,10.8,89.2,61.7,23.7,13.1,,,,,,,,,,,77.3,22.7
384,"All States, DC and Territories (median) **",2021,33.9,34.3,29.9,1.8,19.2,34.0,31.3,11.6,3.7,85.1,14.9,75.5,12.8,6.2,5.4,0.6,12.2,87.8,59.1,25.9,14.6,59.0,41.0,80.2,19.8,,,,,,,76.3,23.7
