,location,year,BMI: Obese (BMI 30.0 - 99.8),BMI: Overweight (BMI 25.0-29.9),BMI: Normal Weight (BMI 18.5-24.9),BMI: Underweight (BMI 12.0-18.4),General health: Excellent,General health: Very good,General health: Good,General health: Fair,General health: Poor,Health status: Good or Better,Health status: Fair or Poor,Doc visit: Past year,Doc visit: Past 2 years,Doc visit: Past 5 years,Doc visit: 5+ years ago,Doc visit: Never,"Concentrate, remember, decide: Difficult","Concentrate, remember, decide: Not difficult",Bad mental health days: 0,Bad mental health days: 1-13,Bad mental health days: 14+,Fruit eaten: Daily,Fruit eaten: Not daily,Vegetables eaten: Daily,Vegetables eaten: Not daily,Aerobic activity per week: Over 150 min,Aerobic activity per week: Under 150 min,Met physical activity guidelines: Yes,Met physical activity guidelines: No,Strength training: 2x+ per week,Strength training: 1x- per week,Physically active in last month: Yes,Physically active in last month: No
237,Pennsylvania,2016,30.3,35.2,33.2,1.3,16.5,34.8,32.1,12.4,4.2,83.4,16.6,73.0,12.2,7.8,6.4,,9.9,90.1,,,,,,,,,,,,,,77.1,22.9
238,Pennsylvania,2017,31.6,35.5,30.8,2.1,16.6,32.9,31.8,13.7,4.9,81.4,18.6,73.2,11.5,8.2,6.4,0.8,11.2,88.8,,,,66.0,34.0,83.6,16.4,53.0,47.0,20.9,79.1,30.4,69.6,75.1,24.9
239,Pennsylvania,2018,30.9,35.0,32.3,1.8,16.1,32.8,32.2,14.3,4.6,81.1,18.9,79.1,10.4,5.3,4.7,,12.7,87.3,,,,,,,,,,,,,,76.0,24.0
240,Pennsylvania,2019,33.2,35.2,29.8,1.8,15.2,33.6,32.4,14.4,4.4,81.1,18.9,80.0,9.5,5.0,4.9,0.6,11.4,88.6,61.9,24.4,13.7,62.0,38.0,80.2,19.8,49.9,50.1,21.8,78.2,33.6,66.4,74.4,25.6
241,Pennsylvania,2020,31.5,35.7,31.5,1.4,20.4,35.9,29.5,11.2,3.0,85.8,14.2,79.8,11.3,4.8,3.9,,11.0,89.0,61.6,24.2,14.2,,,,,,,,,,,75.5,24.5
242,Pennsylvania,2021,33.3,33.0,32.5,1.2,18.3,34.0,31.4,12.0,4.2,83.8,16.2,77.1,12.8,5.4,4.3,,11.8,88.2,61.4,24.6,14.0,60.7,39.3,80.6,19.4,,,,,,,75.8,24.2
243,Rhode Island,2015,26.0,36.7,35.9,1.5,18.6,35.2,29.9,11.9,4.3,83.8,16.2,81.0,10.5,4.8,3.3,,11.5,88.5,,,,62.4,37.6,76.5,23.5,50.4,49.6,20.0,80.0,28.7,71.3,71.9,28.1
244,Rhode Island,2016,26.6,37.1,34.6,1.7,19.3,33.3,31.8,11.3,4.3,84.4,15.6,81.5,10.0,4.4,3.5,,11.7,88.3,,,,,,,,,,,,,,75.6,24.4
245,Rhode Island,2017,30.0,34.9,33.6,1.6,18.6,33.1,31.1,12.7,4.5,82.8,17.2,81.5,9.5,4.8,3.7,,12.2,87.8,,,,66.6,33.4,82.3,17.7,50.6,49.4,18.9,81.1,28.8,71.2,73.7,26.3
246,Rhode Island,2018,27.7,36.9,33.4,2.0,19.1,33.7,30.0,13.1,4.2,82.7,17.3,84.1,9.1,3.8,2.6,,12.4,87.6,,,,,,,,,,,,,,74.7,25.3
